Sample in Buffer,Sample in Window,TRIGGER,daq_stream[0]_1[31:0],daq_stream[1]_1[31:0],daq_stream_k[0]_1[3:0],daq_stream_k[1]_1[3:0],daq_data_type[0][1:0],daq_data_type[1][1:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
470,470,0,ec43501b,000000bc,0,1,0,3
471,471,0,0c8cc2d3,000000bc,0,1,0,3
472,472,0,0216086e,000000bc,0,1,0,3
473,473,0,422dccc9,000000bc,0,1,0,3
474,474,0,9da3f8c0,000000bc,0,1,0,3
475,475,0,080a20b8,000000bc,0,1,0,3
476,476,0,d88a2205,000000bc,0,1,0,3
477,477,0,79c4473b,000000bc,0,1,0,3
478,478,0,34284600,000000bc,0,1,0,3
479,479,0,9180c0bc,000000bc,0,1,0,3
480,480,0,1412480a,000000bc,0,1,0,3
481,481,0,5482af0f,000000bc,0,1,0,3
482,482,0,8a260a5c,000000bc,0,1,0,3
483,483,0,fcded0f7,000000bc,0,1,0,3
484,484,0,cc00b53b,000000bc,0,1,0,3
485,485,0,0b786832,000000bc,0,1,0,3
486,486,0,72210139,000000bc,0,1,0,3
487,487,0,d02308f1,000000bc,0,1,0,3
488,488,0,08325c46,000000bc,0,1,0,3
489,489,0,440e30e0,000000bc,0,1,0,3
490,490,0,ccd45012,000000bc,0,1,0,3
491,491,0,c18f962d,000000bc,0,1,0,3
492,492,0,1b90b121,000000bc,0,1,0,3
493,493,0,6027c657,000000bc,0,1,0,3
494,494,0,9508d022,000000bc,0,1,0,3
495,495,0,c971bc45,000000bc,0,1,0,3
496,496,0,40fb0b4c,000000bc,0,1,0,3
497,497,0,7c72a1ca,000000bc,0,1,0,3
498,498,0,fdcd402d,000000bc,0,1,0,3
499,499,0,2e082791,000000bc,0,1,0,3
500,500,0,d1c74820,000000bc,0,1,0,3
501,501,0,f4345437,000000bc,0,1,0,3
502,502,0,07f3d98c,000000bc,0,1,0,3
503,503,0,00000000,000000bc,0,1,0,3
504,504,0,029251dc,000000bc,1,1,0,3
505,505,0,000000bc,000000bc,1,1,2,3
506,506,0,000000bc,000000bc,1,1,3,3
507,507,0,000000bc,000000bc,1,1,3,3
508,508,0,0000003c,000000bc,1,1,1,3
509,509,0,03c00000,000000bc,0,1,0,3
510,510,0,4ff237a9,000000bc,0,1,0,3
511,511,0,0125e088,000000bc,0,1,0,3
512,512,1,03c0e000,000000bc,0,1,0,3
513,513,0,4fd2f000,000000bc,0,1,0,3
514,514,0,0003004c,000000bc,0,1,0,3
515,515,0,2400a003,000000bc,0,1,0,3
516,516,0,00cff800,000000bc,0,1,0,3
517,517,0,000cffe0,000000bc,0,1,0,3
518,518,0,8003c009,000000bc,0,1,0,3
519,519,0,0e002400,000000bc,0,1,0,3
520,520,0,00400140,000000bc,0,1,0,3
